display_name,status,gsis_id,position,team_abbr
'Omar Ellison,RET,00-0004866,WR,LAC
A'Shawn Robinson,ACT,00-0032889,DT,CAR
A.J. Arcuri,DEV,00-0037845,T,LA
A.J. Barner,ACT,00-0039793,TE,SEA
A.J. Bouye,RES,00-0030228,CB,CAR
A.J. Brown,ACT,00-0035676,WR,PHI
A.J. Cann,ACT,00-0032255,G,HOU
A.J. Cole,ACT,00-0035190,P,LV
A.J. Cruz,RET,00-0032270,WR,MIA
A.J. Dalton,RET,00-0031108,T,DET
A.J. Davis,RET,00-0029167,DB,NO
A.J. Davis,RET,00-0025492,CB,HOU
A.J. Derby,CUT,00-0031609,TE,NO
A.J. Dillon,RES,00-0036265,RB,GB
A.J. Edds,RET,00-0027719,LB,JAX
A.J. Epenesa,ACT,00-0036192,DE,BUF
A.J. Feeley,RET,00-0020305,QB,LA
A.J. Finley,ACT,00-0038866,FS,LAC
A.J. Francis,CUT,00-0029972,DT,NYG
A.J. Green,U01,00-0027942,WR,ARI
A.J. Green,CUT,00-0036114,CB,MIN
A.J. Greene,RET,00-0029337,T,CHI
A.J. Harris,RET,00-0024509,RB,SEA
A.J. Hawk,RET,00-0024220,LB,ATL
A.J. Hawkins,RET,00-0030156,OL,KC
A.J. Hendy,CUT,00-0032620,SAF,HOU
A.J. Howard,DEV,00-0034476,DB,DET
A.J. Jefferson,CUT,00-0033981,DT,ATL
A.J. Jefferson,RET,00-0027350,CB,SEA
A.J. Jenkins,RET,00-0029654,WR,DAL
A.J. Johnson,RET,00-0008417,DB,LAC
A.J. Jones,RET,00-0028225,LB,DEN
A.J. Klein,DEV,00-0030463,OLB,BUF
A.J. Lindeman,RET,00-0030537,T,CHI
A.J. Love,RET,00-0029624,WR,MIN
A.J. Moore,CUT,00-0034594,FS,TEN
A.J. Nicholson,RET,00-0024371,LB,CIN
A.J. Ofodile,RET,00-0012317,TE,BAL
A.J. Ouellette,CUT,00-0035583,RB,CLE
A.J. Parker,ACT,00-0036752,CB,CAR
